Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,141.250000,141.740005,139.880005,141.210007,132.755295,3138700
2020-01-24,141.850006,141.990005,138.699997,139.070007,130.743408,3183300
2020-01-27,137.339996,139.100006,137.339996,138.309998,130.028915,2826400
2020-01-28,138.690002,139.880005,138.229996,139.259995,130.922043,2649100
2020-01-29,139.509995,141.139999,138.970001,139.919998,131.542542,2815500
2020-01-30,138.179993,143.720001,138.100006,142.669998,134.127884,5243400
2020-01-31,142.850006,142.850006,139.470001,139.639999,131.279282,3913500
2020-02-03,140.529999,141.570007,139.679993,141.000000,132.557877,5137800
2020-02-04,142.300003,144.070007,141.779999,143.440002,134.851761,3177500
2020-02-05,144.779999,147.360001,144.529999,147.350006,138.527710,4060900
2020-02-06,147.740005,147.869995,146.809998,147.300003,138.480667,3285000
2020-02-07,147.220001,147.220001,145.380005,146.410004,137.643936,2670400
2020-02-10,141.500000,145.550003,141.119995,145.509995,136.797806,4892100
2020-02-11,145.729996,145.860001,143.179993,144.250000,135.613281,2976400
2020-02-12,144.669998,144.899994,143.490005,143.509995,134.917603,3953200
2020-02-13,142.860001,143.740005,141.789993,141.800003,134.000946,3455500
2020-02-14,142.250000,142.320007,140.570007,141.119995,133.358322,2273700
2020-02-18,141.020004,141.960007,140.529999,141.009995,133.254349,2858200
2020-02-19,141.619995,141.839996,140.360001,140.830002,133.084290,3082800
2020-02-20,141.630005,142.809998,141.199997,142.000000,134.189941,3417000
2020-02-21,141.339996,142.649994,140.330002,142.039993,134.227737,2900900
2020-02-24,139.279999,141.589996,137.869995,138.149994,130.551697,4727400
2020-02-25,138.940002,139.229996,134.619995,135.410004,127.962410,3401600
2020-02-26,136.029999,137.020004,133.309998,133.529999,126.185814,4659000
2020-02-27,133.330002,134.669998,129.050003,129.190002,122.084511,4292800
2020-02-28,126.379997,126.800003,121.510002,126.129997,119.192795,7898300
2020-03-02,127.739998,133.000000,126.209999,132.839996,125.533730,7355700
2020-03-03,133.279999,135.649994,128.690002,130.309998,123.142891,6936600
2020-03-04,133.029999,140.860001,133.000000,140.380005,132.659027,5301900
2020-03-05,138.380005,141.910004,137.529999,140.149994,132.441666,6882100
2020-03-06,136.119995,142.360001,135.550003,141.460007,133.679626,8010700
2020-03-09,134.020004,140.929993,133.309998,135.720001,128.255310,5351300
2020-03-10,139.229996,141.929993,134.720001,141.190002,133.424484,5961200
2020-03-11,139.460007,141.839996,137.389999,140.020004,132.318817,7211800
2020-03-12,130.789993,136.500000,125.930000,126.019997,119.088844,7836300
2020-03-13,132.949997,139.369995,128.509995,139.369995,131.704590,6841700
2020-03-16,131.000000,138.679993,128.250000,129.380005,122.264046,6619700
2020-03-17,133.210007,143.589996,131.100006,143.199997,135.323929,8909200
2020-03-18,136.339996,144.000000,134.080002,143.089996,135.219986,6734600
2020-03-19,142.490005,142.979996,131.119995,133.089996,125.769981,6554800
2020-03-20,132.160004,132.250000,120.230003,122.400002,115.667953,9113500
2020-03-23,120.949997,126.879997,117.059998,119.050003,112.502205,7299300
2020-03-24,123.239998,124.599998,117.410004,122.889999,116.130989,6827300
2020-03-25,120.120003,126.139999,119.209999,121.940002,115.233238,6472100
2020-03-26,123.290001,135.740005,121.940002,134.350006,126.960670,6723600
2020-03-27,130.649994,137.610001,130.199997,134.110001,126.733871,4717400
2020-03-30,133.869995,141.770004,133.509995,138.440002,130.825729,5057400
2020-03-31,136.960007,142.020004,134.520004,138.720001,131.090347,7560100
2020-04-01,134.000000,137.190002,132.979996,136.419998,128.916840,3297900
2020-04-02,135.350006,142.800003,133.029999,142.179993,134.360016,4725000
2020-04-03,140.919998,144.600006,138.460007,139.660004,131.978668,4013200
2020-04-06,142.270004,143.500000,140.300003,141.610001,133.821396,4159900
2020-04-07,143.130005,144.800003,140.050003,141.880005,134.076538,3900600
2020-04-08,142.050003,147.250000,140.500000,146.220001,138.177826,4006600
2020-04-09,144.509995,146.399994,143.550003,145.729996,137.714783,4415300
2020-04-13,144.970001,146.589996,142.880005,144.419998,136.476852,2289000
2020-04-14,147.279999,151.550003,144.050003,151.110001,142.798874,3809600
2020-04-15,148.940002,153.399994,148.509995,151.179993,142.865036,3614400
2020-04-16,152.889999,155.589996,152.000000,154.729996,146.219772,3512900
2020-04-17,155.419998,157.669998,153.029999,157.289993,148.638962,3709900
2020-04-20,156.630005,160.199997,155.610001,157.789993,149.111465,2562200
2020-04-21,155.410004,155.800003,151.410004,152.669998,144.273056,4270200
2020-04-22,154.610001,157.279999,153.570007,156.710007,148.090881,3278000
2020-04-23,157.179993,162.559998,154.000000,159.929993,151.133804,5692900
2020-04-24,162.000000,164.899994,160.610001,162.929993,153.968735,4414000
2020-04-27,164.000000,164.500000,160.720001,161.289993,152.418991,3210300
2020-04-28,160.940002,161.979996,156.589996,157.300003,148.648453,3270200
2020-04-29,157.759995,158.029999,154.669998,155.160004,146.626129,3240700
2020-04-30,155.199997,156.979996,153.279999,154.639999,146.134720,4175800
2020-05-01,153.720001,154.600006,151.570007,153.630005,145.180298,2576400
2020-05-04,154.649994,156.000000,151.259995,153.279999,144.849548,2228500
2020-05-05,153.800003,159.220001,152.750000,157.889999,149.205948,2862600
2020-05-06,158.460007,158.940002,156.350006,156.679993,148.062515,1964800
2020-05-07,157.500000,157.690002,152.720001,152.970001,144.556564,2330600
2020-05-08,154.199997,154.419998,152.550003,153.509995,145.066879,1966600
2020-05-11,153.470001,159.470001,153.080002,158.550003,149.829712,3196200
2020-05-12,159.869995,161.399994,157.589996,157.720001,149.045303,2329400
2020-05-13,157.029999,159.350006,156.039993,157.929993,149.243759,2650000
2020-05-14,155.940002,158.949997,153.809998,158.380005,150.373642,2393900
2020-05-15,158.630005,159.509995,156.029999,159.229996,151.180649,2824500
2020-05-18,161.339996,162.369995,157.110001,157.960007,149.974854,2703700
2020-05-19,156.850006,159.130005,155.279999,156.699997,148.778564,2339400
2020-05-20,155.270004,157.429993,151.610001,153.130005,145.389053,3780800
2020-05-21,153.149994,153.149994,149.720001,152.279999,144.581985,3049800
2020-05-22,152.220001,152.559998,150.169998,151.160004,143.518631,2355000
2020-05-26,151.110001,151.759995,147.160004,147.960007,140.480377,5013400
2020-05-27,148.169998,148.169998,143.619995,145.699997,138.334610,5376100
2020-05-28,147.429993,152.100006,146.509995,150.649994,143.034363,3982700
2020-05-29,151.660004,153.639999,149.940002,152.949997,145.218124,9466300
2020-06-01,154.470001,154.990005,150.889999,152.449997,144.743378,5233800
2020-06-02,152.080002,154.080002,151.039993,153.860001,146.082108,3269400
2020-06-03,153.339996,154.389999,150.850006,152.529999,144.819366,3190300
2020-06-04,152.210007,153.539993,149.710007,150.710007,143.091309,3328700
2020-06-05,149.699997,151.759995,148.339996,149.210007,141.667191,4578800
2020-06-08,146.750000,149.250000,146.520004,149.210007,141.667191,4076400
2020-06-09,149.750000,151.750000,149.110001,149.130005,141.591232,4302100
2020-06-10,149.960007,152.399994,149.839996,151.000000,143.366699,4940200
2020-06-11,151.850006,152.240005,143.050003,144.080002,136.796463,4547400
2020-06-12,145.539993,146.380005,141.470001,143.539993,136.283768,3973200
2020-06-15,142.000000,142.899994,139.679993,141.520004,134.365936,3709900
2020-06-16,156.320007,167.429993,155.000000,163.710007,155.434204,15029300
2020-06-17,164.229996,164.360001,159.399994,159.970001,151.883270,4711200
2020-06-18,159.199997,162.970001,158.199997,161.070007,152.927643,3631600
2020-06-19,162.229996,162.479996,158.259995,159.940002,151.854752,6004900
2020-06-22,159.179993,161.479996,158.919998,160.449997,152.338974,2647300
2020-06-23,160.889999,162.869995,158.949997,159.339996,151.285065,2771500
2020-06-24,158.550003,159.789993,156.330002,157.029999,149.091843,3096000
2020-06-25,157.639999,163.389999,156.710007,162.860001,154.627121,3735400
2020-06-26,162.330002,163.789993,160.179993,162.830002,154.598663,5290400
2020-06-29,163.850006,164.210007,161.029999,162.720001,154.494202,2640300
2020-06-30,163.110001,165.169998,162.300003,164.179993,155.880402,3296300
2020-07-01,164.320007,165.470001,162.520004,163.300003,155.044907,2065100
2020-07-02,164.070007,164.770004,162.369995,163.869995,155.586075,1960200
2020-07-06,164.460007,168.919998,164.009995,166.889999,158.453445,2760100
2020-07-07,166.119995,168.380005,165.270004,166.750000,158.320496,3273300
2020-07-08,166.839996,169.820007,166.839996,169.130005,160.580185,2781800
2020-07-09,169.880005,170.750000,163.710007,166.449997,158.035645,2955200
2020-07-10,166.139999,166.139999,162.740005,163.360001,155.101883,2245100
2020-07-13,164.610001,167.000000,161.039993,162.080002,153.886581,3455600
2020-07-14,162.880005,164.770004,161.529999,163.880005,155.595612,2642900
2020-07-15,165.190002,166.479996,163.899994,165.449997,157.086212,2346200
2020-07-16,164.949997,165.440002,162.600006,165.000000,156.658966,1486800
2020-07-17,166.039993,167.259995,165.110001,165.960007,157.570419,2935800
2020-07-20,166.490005,167.710007,165.729996,167.039993,158.595825,1806200
2020-07-21,166.869995,167.229996,164.759995,165.300003,156.943817,1540700
2020-07-22,165.539993,165.850006,162.330002,164.839996,156.507050,1686500
2020-07-23,165.259995,165.460007,160.789993,161.520004,153.354889,2408800
2020-07-24,161.470001,161.470001,158.449997,159.539993,151.474976,2247900
2020-07-27,159.600006,161.740005,158.589996,160.500000,152.386444,2709700
2020-07-28,161.669998,165.410004,161.350006,162.649994,154.427765,3483100
2020-07-29,162.529999,163.029999,161.100006,161.750000,153.573242,3108900
2020-07-30,158.449997,158.500000,150.449997,153.000000,145.265594,6638100
2020-07-31,153.130005,153.339996,148.740005,150.289993,142.692581,5342700
2020-08-03,152.800003,153.850006,151.220001,152.839996,145.113647,3615000
2020-08-04,153.380005,156.000000,153.089996,154.850006,147.022095,3260000
2020-08-05,157.309998,157.490005,153.300003,154.339996,146.537827,2386400
2020-08-06,153.850006,155.500000,151.000000,152.880005,145.151642,2176200
2020-08-07,152.960007,153.500000,151.580002,152.929993,145.199142,2017100
2020-08-10,152.929993,153.490005,151.529999,153.000000,145.265594,1745200
2020-08-11,153.139999,153.139999,150.199997,150.630005,143.015411,2103400
2020-08-12,150.789993,153.169998,150.600006,152.550003,144.838364,2430400
2020-08-13,150.820007,151.690002,149.789993,150.460007,143.550339,2077700
2020-08-14,149.800003,151.690002,149.149994,150.089996,143.197342,1538000
2020-08-17,150.919998,152.699997,150.360001,151.529999,144.571167,2704700
2020-08-18,152.149994,153.149994,151.149994,153.110001,146.078613,1959700
2020-08-19,153.809998,154.410004,152.009995,152.289993,145.296280,1938800
2020-08-20,152.550003,152.850006,150.850006,151.339996,144.389938,1830200
2020-08-21,151.339996,151.350006,147.949997,149.259995,142.405426,3112000
2020-08-24,150.050003,150.399994,148.250000,149.520004,142.653519,2268400
2020-08-25,150.360001,151.309998,149.309998,149.679993,142.806152,2216100
2020-08-26,149.190002,149.460007,147.410004,149.259995,142.405426,3029700
2020-08-27,150.580002,150.940002,148.940002,148.970001,142.128754,3146100
2020-08-28,148.839996,149.149994,146.979996,147.339996,140.573608,2102600
2020-08-31,147.350006,148.789993,147.029999,148.389999,141.575409,4430700
2020-09-01,148.610001,149.199997,146.649994,147.300003,140.535446,2358700
2020-09-02,146.789993,150.000000,146.509995,149.550003,142.682129,2406800
2020-09-03,152.190002,153.369995,147.460007,149.020004,142.176498,4226100
2020-09-04,148.770004,152.580002,147.949997,150.910004,143.979675,4361800
2020-09-08,150.949997,151.309998,148.500000,149.309998,142.453125,4351200
2020-09-09,150.619995,154.119995,150.309998,151.970001,144.990997,2328500
2020-09-10,149.880005,150.600006,145.720001,146.220001,139.505051,3961300
2020-09-11,147.559998,149.190002,146.880005,148.089996,141.289139,3001400
2020-09-14,149.089996,150.509995,147.470001,149.000000,142.157379,3072500
2020-09-15,149.960007,151.869995,149.419998,150.080002,143.187759,2923500
2020-09-16,151.720001,152.679993,150.789993,150.960007,144.027374,3618800
2020-09-17,150.130005,152.679993,149.460007,152.470001,145.468018,3620700
2020-09-18,152.039993,154.500000,152.039993,154.169998,147.089966,13209800
2020-09-21,153.169998,153.660004,149.059998,151.179993,144.237259,3501600
2020-09-22,150.910004,151.570007,149.149994,149.860001,142.977905,2926400
2020-09-23,150.050003,151.589996,148.699997,149.809998,142.930176,3545700
2020-09-24,149.259995,149.660004,147.369995,148.809998,141.976120,3424200
2020-09-25,148.389999,150.399994,147.850006,150.259995,143.359528,2440600
2020-09-28,151.000000,151.580002,147.899994,148.100006,141.298721,2427100
2020-09-29,147.979996,148.440002,145.929993,146.259995,139.543213,3308300
2020-09-30,146.399994,148.449997,145.059998,148.020004,141.222412,5083900
2020-10-01,148.330002,148.710007,144.059998,144.289993,137.663727,3809200
2020-10-02,143.669998,146.940002,143.270004,145.210007,138.541458,3880000
2020-10-05,145.070007,147.470001,144.179993,146.630005,139.896210,2790600
2020-10-06,146.929993,147.830002,143.929993,144.130005,137.511047,2409200
2020-10-07,148.520004,149.889999,146.850006,148.960007,142.119217,4602800
2020-10-08,152.399994,153.940002,150.500000,153.500000,146.450714,4686100
2020-10-09,154.089996,157.149994,154.070007,156.880005,149.675507,4590600
2020-10-12,156.830002,157.149994,154.419998,154.490005,147.395279,3242700
2020-10-13,153.000000,154.330002,148.550003,150.080002,143.187759,5963900
2020-10-14,150.380005,150.600006,147.710007,148.460007,141.642181,2710200
2020-10-15,146.509995,146.910004,145.380005,146.779999,140.039337,3785900
2020-10-16,147.110001,148.380005,146.000000,146.119995,139.409637,2918900
2020-10-19,147.000000,147.410004,142.210007,142.800003,136.242126,3158900
2020-10-20,143.360001,144.119995,142.110001,143.589996,136.995804,2188700
2020-10-21,142.289993,143.330002,141.210007,141.309998,134.820557,1983700
2020-10-22,141.529999,142.259995,140.800003,141.649994,135.144882,3056600
2020-10-23,142.240005,144.699997,141.720001,142.380005,135.841400,2427200
2020-10-26,141.899994,142.289993,140.050003,141.699997,135.192642,2947100
2020-10-27,133.020004,136.080002,131.869995,131.899994,125.842667,11374600
2020-10-28,130.460007,134.100006,130.309998,131.309998,125.279762,6188000
2020-10-29,132.000000,133.130005,130.380005,132.550003,126.462860,4099900
2020-10-30,131.759995,133.100006,129.210007,130.460007,124.468819,4335300
2020-11-02,132.539993,133.949997,129.990005,131.630005,125.585083,3449500
2020-11-03,133.639999,134.070007,130.699997,130.979996,124.964951,3628400
2020-11-04,134.910004,151.979996,134.910004,148.589996,141.766220,12211700
2020-11-05,147.679993,148.809998,144.699997,145.520004,138.837189,5731000
